"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.6016599186852","98.6006313502752","98.6249018120657","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Afghanistan","AFG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.02072617359793","11.1930788250914","18.3846727932146","27.9542515209591","32.9043678269207","30.2188001325129","29.5728813319651","60.8491561955971","62.8756933574353","86.5005120344614","64.5733535573634","97.0993598483561","97.0919732851744","","",
"Angola","AGO","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.47707541969044","3.5120838630594","2.70090536129388","1.6890572146644","0.460120816867829","0","0","0","0","0","0","0","0","0.0192897669168946","3.81506605169639","0","0","","",
"Albania","ALB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Andorra","AND","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5582490685399","54.9443952542714","56.932309065872","58.0252898513798","59.7271555289648","60.9606358854253","59.6613624700642","62.9455063805517","60.9442611443673","63.226752701468","64.0946732506779","66.413864529517","71.8178540435759","69.0664829308753","72.2028859911957","71.818283827417","73.4666528995723","73.9421028735267","75.2441040717632","77.1623045865235","75.5389763238519","78.7411524085386","79.6656350449385","80.7492927325173","","",
"United Arab Emirates","ARE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.448194647212","95.6711862778473","95.6328303523278","95.3433457091578","94.9732393007331","94.8324982159697","95.204933862345","96.0634494281733","97.292671509535","89.7624450130236","93.5483652932783","95.9864840199477","95.497619757892","100","98.1696171252704","99.7326924109949","100","","",
"Armenia","ARM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.533972827049","100","95.6489533370669","99.0984359514559","99.201524184076","99.6226998926613","99.1495174065745","99.0625270490194","98.9854377809519","98.9556841608806","99.9735229503444","99.9212603860673","99.9996417107217","100","100","100","100","100","","",
"American Samoa","ASM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.0010691456425","97.177228520294","100","100","100","100","97.8024456891339","97.9908005718132","92.7056258610281","100","100","100","100","100","100","","",
"Australia","AUS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Austria","AUT","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3104404660953","98.0660884019975","97.6307132787126","100","98.4141952463114","98.7259949756945","98.9711280695832","99.1672354516098","99.3527483930595","99.5459101123567","99.7792310686514","99.9214307026763","99.9","100","100","100","100","100","100","","",
"Burundi","BDI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.882569807380684","0.0958311049538817","0.0955910764335706","0.456042511695169","0","0.869650854256217","0.980124437760665","1.68373859842806","2.21311474896188","1.65840932053429","","",
"Belgium","BEL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Benin","BEN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77705783175004","2.20684446286765","3.19400269793141","4.18561329687422","5.17052482960855","4.44922892055787","7.03216870751954","7.80252468149873","8.51115117048165","9.15260240185713","7.91549568512587","10.2993681503331","10.8483523813377","11.4134294562298","10.573701122937","13.6236299175185","14.5507815063846","14.1372801191426","16.2260154564679","15.6818841574795","16.4499666661503","17.1977447304814","","",
"Burkina Faso","BFA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2.11886320042586","0.261416806256846","0.694816743061101","1.1279673129285","1.48257665375421","1.76317116442193","0.102735099288855","2.25776410556648","2.45681735315906","2.61071037677701","1.15256244861941","2.74572033142598","2.71106626666903","2.61530765800873","2.57433960096249","2.59781505075441","2.62885205464961","1.52984106021979","2.77547614634188","3.28283391754486","4.55702473392215","4.89732589224219","7.18598879565215","8.41218730975312","9.57321801373264","","",
"Bangladesh","BGD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17101836527912","0","0.193821298948539","2.2388447488539","5.46790753632887","8.13183328204436","5.88147555920349","13.5293388746126","16.2581385661081","16.7341639405941","21.6144222564987","24.1592569166212","26.666017824456","27.9852359865385","30.1657256989524","40.3113979686084","32.3670451528302","39.2099435089442","41.8180272276662","39.9229745341509","45.6436674943396","49.7579487827472","48.5638286981132","48.0979190339623","62.3609116064722","66.0084049833962","81.2805078066038","","",
"Bulgaria","BGR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahrain","BHR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","96.065547","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","97.8961461759434","100","100","100","99.1270621790002","100","100","100","100","100","100","100","100","100","100","100","","",
"Belarus","BLR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Belize","BLZ","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7948679784479","48.8691619200831","50.9622763705247","53.049950692655","55.138391096561","57.2309937607889","59.3327605943843","61.4445094800364","63.5568110554785","65.6970578869808","67.6129985026775","69.5586248329966","71.4638105535824","73.3149242491854","75.1065088826289","85.127281104983","78.5934514524862","80.3387723168537","82.1183271471773","84.0689050647472","87.857165350092","87.8504336643332","89.8864827223897","91.9657910867132","87.558328829977","96.2045965903826","98.3419821717819","","",
"Bermuda","BMU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.433689740417","13.3098624805498","12.9298805173262","13.0718984772257","23.1679437748022","19.9159438414121","32.956765554059","24.2240373347456","32.6782921869467","28.3738467331442","28.167426951391","28.0133539766897","22.5277936904486","34.9556023058636","40.8963392400479","29.5450110004303","41.570563139041","46.5350591208367","57.0026358383511","63.2775869015465","66.4601660115428","66.6475788690474","72.1698830912683","68.5167299156495","70.2928673456057","74.3385017685806","74.869460509964","74.8204418587977","","",
